"gene_id","p_threshold","method","n_snps","beta","se","pvalue","heterogeneity_Q","heterogeneity_Q_df","heterogeneity_Q_pval","heterogeneity_I2"
"ENSG00000116251.11","0.00001","IVW",25,-0.40941039072978,0.600139130788717,0.495117260976563,17.4649657714282,0.828165740337584,1.99406024497311e-05,0.952581313288777
"ENSG00000116237.16","0.00001","IVW",25,0.128019181384593,0.17110572687705,0.454347015518231,17.3705676561688,0.83243292836417,2.11767932599509e-05,0.952077966313982
"ENSG00000158292.7","0.00001","IVW",25,-0.18288622464276,0.16078059468158,0.255333746924284,16.6364701556089,0.863746840713945,3.36200461576979e-05,0.94808112342132
"ENSG00000097021.20","0.00001","IVW",24,0.690598796459516,0.813358727915602,0.395842136328871,16.6330471915665,0.826861372422515,3.09267978189807e-05,0.95028804025508
"ENSG00000271746.1","0.00001","IVW",24,-0.122897351951705,0.229889910501235,0.59293188162613,17.0681788702585,0.805892461450765,2.33486975253361e-05,0.952783922199512
"ENSG00000187017.18","0.00001","IVW",24,0.183202248842829,0.28606508485888,0.521898567739211,16.9438279069214,0.811998914541752,2.53108965289618e-05,0.952077008867042
"ENSG00000215788.11","0.00001","IVW",24,0.174178065634163,0.340691922811383,0.609177408637337,17.0925931636771,0.804683144848103,2.29809096305368e-05,0.952922114442055
"ENSG00000171680.23","0.00001","IVW",24,-0.0713791615575982,0.226461114194463,0.752614437545059,17.2546204916505,0.79657258236134,2.06766844860438e-05,0.953834244992708
"ENSG00000162408.11","0.00001","IVW",24,0.13103535302828,0.356478306054394,0.713184218132867,17.218850448785,0.798375667301778,2.11655501958567e-05,0.953633625561914
"ENSG00000173662.21","0.00001","IVW",24,0.479823125839517,0.323130469441843,0.137564829462594,15.1489781730893,0.889214669772986,7.85270818991043e-05,0.941302003368611
"ENSG00000204859.13","0.00001","IVW",24,-0.78014547886023,0.33402412925378,0.0195122980989593,11.8989581899102,0.972000042610702,0.000531659808923423,0.918312172620716
"ENSG00000116273.6","0.00001","IVW",24,0.426877752478049,0.312113942419368,0.171406488129235,15.4833686599647,0.876477432352746,6.38830951092932e-05,0.943392329434159
"ENSG00000162413.17","0.00001","IVW",24,-0.297839221235982,0.484949227342861,0.539105782704349,16.9767680783654,0.810390032624129,2.47763117768042e-05,0.952264763888902
"ENSG00000041988.16","0.00001","IVW",24,-0.407921940001928,0.157551167673557,0.00962161282772001,10.6503247129019,0.986480584816977,0.00107257478337298,0.907375539111785
"ENSG00000007923.17","0.00001","IVW",25,0.39335578341281,0.945199137149384,0.677291603331663,18.5286980337988,0.776634665749001,1.0011589034599e-05,0.958084768593437
"ENSG00000237436.1","0.00001","IVW",28,0.246934068993618,0.176682628736051,0.16222909098993,17.8535170080453,0.907933124681473,1.95105570796517e-05,0.949145419119811
"ENSG00000171735.19","0.00001","IVW",28,-0.268764227848309,0.714016664594147,0.706610847829449,19.6651553963573,0.844509977045425,6.47811899346309e-06,0.957055514689609
"ENSG00000150337.14","0.00001","IVW",50,-0.307057350795488,0.413172467265162,0.457378810230163,38.5226585804291,0.859080689518665,3.76266893700538e-10,0.97769934056537
"ENSG00000233030.2","0.00001","IVW",52,0.436439285376273,0.151102480303459,0.00387248834950515,33.164317258426,0.974980399204113,7.96961574051089e-09,0.970601523571048
"ENSG00000203814.7","0.00001","IVW",53,0.276704066543778,0.19809321641311,0.162462392023689,41.5411016533754,0.850165307974025,7.7917926244623e-11,0.979534358162479
"ENSG00000183598.4","0.00001","IVW",53,0.0675382209924847,0.134650274005821,0.615961232241773,43.2406721214931,0.801259989251602,2.84216190746416e-11,0.981469760992607
"ENSG00000220323.4","0.00001","IVW",56,0.420907985469948,0.238291746773994,0.0773361920944137,47.0598446720225,0.768066153268593,3.64122885796316e-12,0.983678948398119
